Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0;-1.056200027;-1.081399918;-2.85710001;3.23233735
0.009926562;0.093599997;-0.131599993;-0.428599983;0.458014698
0.019853125;0.090099998;-0.192099988;-0.160300002;0.265925752
0.029779687;-0.038599998;-0.196999997;-0.060099997;0.209549441
0.03970625;-0.084799998;-0.138599992;-0.075099997;0.179000019
0.04963125;-0.096999995;-0.064599998;-0.264299989;0.288854017
0.059559375;-0.079700001;0.0126;-0.58889997;0.594402242
0.069484375;-0.104199998;0.078000002;-0.815299988;0.825624436
0.079410937;-0.0142;0.218400002;-0.946199954;0.971182039
0.0893375;0.203199998;0.321999997;-0.763999999;0.853621834
0.099264062;0.942999959;-0.232299998;-0.798999965;1.257622024
0.109190625;0.355599999;0.436999977;-0.6602;0.867919569
0.119117187;0.0317;0.254000008;0.0438;0.259690843
0.129042187;0.128700003;0.147699997;0.353300005;0.403980041
0.13896875;-0.376100004;0.289000005;0.536000013;0.715729159
0.148895312;-0.653599977;0.298199981;0.382499993;0.813893362
0.158821875;-0.70480001;0.048999999;0.0933;0.712635211
0.168748437;-0.664499998;-0.379299998;-0.099999994;0.771640289
0.178673437;-0.824799955;0.332100004;0.236499995;0.920063925
0.1886;-0.363399982;0.591699958;0.1043;0.702172968
0.198526562;0.023599999;0.211499989;-0.127999991;0.248340901
0.208453125;-0.287799984;-0.144299999;-0.354099989;0.478579275
0.218379687;-0.577199996;-0.13939999;-0.680899978;0.903447271
0.22830625;-0.521499991;0.0546;-1.100099921;1.218672736
0.238232812;-0.0221;0.322899997;-1.499599934;1.534129323
0.248157812;0.491699994;0.512799978;-1.560899973;1.714975634
0.258084375;0.769199967;0.404199988;-1.372900009;1.624777109
0.268010937;0.956900001;0.415399998;-0.886699975;1.369106137
0.2779375;1.195199966;0.736799955;-0.41959998;1.465415053
0.287889062;1.146299958;0.761299968;-0.265599996;1.401472295
0.297790625;0.765199959;0.629000008;-0.305399984;1.036552526
0.307717187;0.338799983;0.342999995;-0.355599999;0.599070768
0.317642187;-0.370700002;-0.0647;-0.387199998;0.539933718
0.32756875;-1.025699973;-0.167899996;0.188099995;1.056235036
0.337495312;-1.380100012;-0.0083;0.856899977;1.624506849
0.347421875;-1.929799914;0.034499999;0.969099998;2.159739051
0.357348437;-1.983099937;-0.172199994;0.521899998;2.057842999
0.367275;-1.248899937;-0.681899965;-0.375699997;1.471695995
0.377201562;-0.179099992;-1.3477;-1.374799967;1.933506412
0.387126562;1.05369997;-1.937999964;-1.863899946;2.887949185
0.397053125;3.16809988;-0.870099962;-2.921999931;4.396818667
