Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0;-0.1646;0.059999999;-0.901299953;0.918169247
0.009925;-0.0013;-0.0014;0.021699999;0.021783938
0.019851563;-0.024499999;-0.20449999;-0.083299994;0.222169721
0.029778125;-0.290899992;0.453500003;-0.091499999;0.546495478
0.039704688;-0.628300011;0.141199991;-0.226099998;0.682509744
0.04963125;-0.882999957;0.388599992;-0.104800001;0.970402966
0.059557813;0.586399972;0.786899984;-0.124799997;0.98926819
0.069484375;0.141900003;0.402399987;0.0603;0.43092627
0.079409375;-0.251399994;0.0067;0.138899997;0.287297853
0.089335938;-0.272899985;0.101999998;0.885199964;0.931910606
0.0992625;-0.758300006;0.248099998;0.916399956;1.215056125
0.109189063;-1.396299958;0.1061;1.447799921;2.014208379
0.119115625;-0.3847;0.40259999;0.763700008;0.945155302
0.129042188;0.596899986;0.62529999;0.119099997;0.872625052
0.138967188;0.1523;0.346300006;0.171499997;0.415368792
0.14889375;0.088399999;-0.0506;0.255999982;0.275519347
0.158820313;0.16579999;-0.45539999;0.397499979;0.626805409
0.168746875;-0.144199997;-0.910099983;0.442399979;1.022151339
0.178673438;-0.554899991;-0.958299994;0.269099981;1.139591014
0.1886;-0.772799969;-0.662699997;0.308699995;1.063807673
0.198525;-1.416499972;-0.115800001;0.2588;1.444596571
0.208451563;-1.43719995;0.053599998;-0.645299971;1.576333946
0.218379688;-1.363999963;1.156099916;-1.399099946;2.270361991
0.228304688;-0.916599989;1.711399913;-1.816299915;2.658569274
0.23823125;-0.017899999;1.642699957;-2.083699942;2.653410825
0.24815625;0.676999986;0.810199976;-1.104599953;1.528036007
0.258082813;1.177099943;0.159500003;-0.48969999;1.284838747
0.268010938;1.031800032;0.205699995;0.557299972;1.190591051
0.2779375;-0.180999994;0.171899989;1.49059999;1.511356654
0.2878625;-0.282000005;0.341600001;0.860799968;0.968086333
0.297789063;-0.035299998;0.195099995;-0.1514;0.24946354
0.307715625;0.468899995;-0.040599998;-0.761500001;0.895208253
0.317642188;0.651899993;-0.011;-1.013800025;1.205356832
0.32756875;0.263500005;0.066100001;-0.61469996;0.672054688
0.33749375;-0.1285;0.0014;-0.507200003;0.523226579
0.347420313;0.075399995;0.026799999;-0.545799971;0.551634849
0.357346875;0.418799996;-0.143399999;-0.749199986;0.870205502
0.367273438;0.157099992;-0.61469996;0.494199991;0.804220168
0.377198438;0.646299958;-0.0187;0.1096;0.655793783
0.387126563;1.280499935;-0.160699993;-0.108499996;1.295097225
0.397053125;1.361099958;-0.529500008;0.448499978;1.527781262
0.406979688;1.733899951;-0.552299976;-0.129999995;1.824375044
0.416904688;1.80309999;-0.688499987;-0.900399983;2.129770395
0.42683125;1.109799981;-0.842700005;-1.888399959;2.346881697
0.436757813;0.324699998;-0.789900005;-2.72510004;2.855791018
0.446684375;-0.189499989;-0.698199987;-3.276000023;3.354932133
0.456610938;-0.521600008;-0.290299982;-2.624799967;2.691823827
0.466535938;-0.3213;-0.216499999;-1.913599968;1.952426894
0.4764625;0.192499995;-0.419200003;-0.82129997;0.941975866
0.486389063;0.285699993;-0.696999967;0.264400005;0.798336272
0.496314063;0.512099981;-0.870299995;0.22739999;1.035074503
0.506240625;0.287200004;-0.7773;-0.048699997;0.830090852
0.51616875;0.275999993;-0.58739996;0.349700004;0.737227781
0.526095313;0.281899989;-0.597000003;0.2852;0.719177062
0.536020313;-0.059099998;-0.344599992;-0.345099986;0.491259569
0.545946875;-0.344699979;0.136699989;-0.865799963;0.941867581
0.555873438;-0.411199987;0.674699962;-0.610700011;0.998629046
0.5658;-0.593800008;-0.400399983;-0.208299994;0.745860231
0.575726563;-0.241399989;-1.414399981;-0.332399994;1.472851323
0.585651563;-0.056199998;-2.463999987;1.019500017;2.667177283
0.595578125;0.709399998;-1.728500009;1.711199999;2.533607324
0.605504688;-0.218799993;0.467699975;2.239500046;2.298255242
0.61543125;0.760199964;-0.353100002;0.95569998;1.271198666
0.625357813;0.54339999;-0.36469999;1.496899962;1.633707173
0.635284375;-0.40989998;-0.220199987;1.590499997;1.65716513
0.645209375;-0.56159997;-0.012399999;1.198899984;1.323974871
0.655135938;0.422899991;0.0605;0.261700004;0.500990564
0.6650625;1.037500024;0.075399995;-0.740700006;1.276999592
