Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0;-1.046999931;-1.387199998;-0.604900002;1.840227351
0.009926563;0.077100001;0.072700001;0.143099993;0.178065461
0.019853125;-0.21419999;-0.049699999;-0.147;0.264500899
0.029779688;-0.460199982;-0.17279999;-0.273000002;0.562292505
0.03970625;-0.583499968;-0.223099992;-0.559599996;0.838688246
0.049632813;-0.635299981;-0.231399998;-0.887099981;1.115391591
0.059559375;-0.632099986;-0.268000007;-0.882999957;1.118509419
0.069485938;-0.692299962;-0.335899979;-0.530200005;0.934462454
0.079410938;-0.777799964;-0.435399979;0.0055;0.891390025
0.0893375;-0.789999962;-0.4639;0.590699971;1.09005945
0.099264063;-0.740099967;-0.401499987;1.067099929;1.359283803
0.109190625;-0.527799964;-0.281899989;1.357900023;1.483891128
0.119117188;-0.429800004;-0.3222;1.543599963;1.634393383
0.12904375;-0.491899997;-0.488999993;1.674499989;1.812467051
0.13896875;-0.521899998;-0.504400015;1.541700006;1.704006423
0.148895313;-0.549199998;-0.398000002;1.363899946;1.523235932
0.158821875;-0.576699972;-0.25;1.165699959;1.324363716
0.168748438;-0.516900003;-0.060899999;0.782700002;0.939954103
0.178675;-0.189899996;0.363899976;0.57949996;0.710144636
0.188601563;0.35589999;0.811499953;0.857800007;1.233295515
0.198528125;1.005699992;1.051100016;1.184899926;1.876228012
0.208453125;1.029399991;1.002099991;1.331900001;1.959037096
0.218379688;1.343699932;0.981899977;1.428900003;2.193493171
0.22830625;0.199299991;0.361499995;1.104699969;1.179306896
0.238232813;-0.484899998;-0.0801;0.247299999;0.550182976
0.248159375;-0.790499985;-0.152400002;-0.128299996;0.815215846
0.258085938;-1.008599997;-0.054499999;-0.466299981;1.112510618
0.268010938;-0.924299955;0.061499998;-0.999799967;1.362979322
0.277939063;-0.572899997;-0.213799998;-0.83769995;1.037143217
0.287864063;-0.332100004;-0.538599968;-0.106299996;0.641622964
0.297790625;-0.652199984;-0.724699974;-0.1567;0.987476461
0.307715625;-0.61680001;-0.592799962;-0.564799964;1.025111236
0.317642188;-0.435599983;-0.430099994;-1.103699923;1.26209622
0.327570313;-0.0493;-0.178199992;-1.522099972;1.533288639
0.337495313;0.053599998;0.026999999;-1.893899918;1.894850616
0.347421875;0.354999989;-0.275599986;-1.803799987;1.858944522
0.357348438;0.343799978;-0.576299965;-1.403299928;1.55549695
0.367275;0.490699977;-0.387899995;-1.534500003;1.657088752
0.377201563;1.091300011;-0.110699996;-1.662099957;1.991423228
0.387126563;1.314099908;-0.121099994;-1.206799984;1.788264516
0.397053125;1.127599955;-0.203899994;-0.632799983;1.309004463
0.406979688;0.546099961;-0.151500002;-0.600499988;0.825698282
0.41690625;0.299199998;-0.117799997;-0.818899989;0.879769669
0.426832813;0.340000004;-0.0528;-0.716099977;0.794472794
0.436759375;0.737199962;0.219599992;-0.852699995;1.148383743
0.446684375;0.666199982;0.2227;-1.176399946;1.370158582
0.456610938;0.557299972;0.23619999;-1.736499906;1.838968628
0.4665375;0.472899973;0.349099994;-2.279000044;2.353581609
0.476464063;0.428499997;0.603899956;-2.646800041;2.748428253
0.486389063;0.275700003;0.647199988;-2.472100019;2.570244506
0.496315625;0.089599997;0.535600007;-1.798900008;1.879078701
0.506242188;0.239899993;0.45539999;-1.249599934;1.351458898
0.516170313;0.734799981;0.657700002;-0.980999947;1.390992883
0.526095313;0.485899985;0.757399976;-1.18659997;1.489218925
0.536023438;-0.387799978;0.560599983;-1.177600026;1.360662701
0.545948438;-0.91929996;0.592499971;-0.888099968;1.408861309
0.555875;-1.174600005;0.274299979;-0.0361;1.20674308
0.5658;-0.660899997;0.306400001;0.811499953;1.09050536
0.575728125;-0.220299989;0.369899988;1.274699926;1.345443417
0.585653125;-0.023799999;0.596099973;1.22299993;1.360746283
0.595579688;-0.327800006;0.530600011;0.951699972;1.137858538
0.60550625;-1.077999949;0.0634;1.038499951;1.498194113
0.615432813;-1.216599941;-0.109200001;1.160300016;1.684736236
0.625357813;-1.055699944;0.32979998;0.919499993;1.438315208
0.635284375;-0.796599984;0.024499999;0.584500015;0.988338025
0.645210938;-0.377900004;0.299999982;0.112399995;0.495421196
