Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0;0.046099998;-0.19129999;-0.353499979;0.404577719
0.009926563;0.085900001;-0.060399998;-0.335099995;0.351168018
0.019853125;0.220199987;-0.096199997;-0.282000005;0.370494908
0.029779688;0.296200007;-0.119599998;-0.198299989;0.375980704
0.03970625;0.362399995;-0.139799997;-0.0634;0.393570014
0.049632813;0.375799984;-0.123499997;0.105799995;0.409477125
0.059557813;0.306999981;-0.146300003;0.220799997;0.405469257
0.069484375;0.257299989;-0.137699991;0.254500002;0.387214182
0.079410938;0.218099996;-0.085999995;0.27579999;0.361979615
0.0893375;0.150600001;-0.056699999;0.180500001;0.241817081
0.099264063;0.0955;-0.065299995;0.107899994;0.158198445
0.109190625;0.101199999;-0.0058;0.096599996;0.140023709
0.119117188;0.094499998;-0.0011;0.166500002;0.191451587
0.129042188;0.088999994;0.040199999;0.197999999;0.220773727
0.13896875;0.109999999;0.068799995;0.1215;0.177751763
0.148895313;0.073799998;0.063500002;0.0265;0.100900644
0.158821875;0.047799997;0.0757;-0.0482;0.101678757
0.168748438;0.0162;0.095599994;-0.043199997;0.106151018
0.178675;-0.020199999;0.074999996;-0.076200001;0.108809372
0.188601563;0.0034;0.0537;-0.118499994;0.130144146
0.198526563;0.010799999;0.058199998;-0.179099992;0.188628436
0.208453125;-0.0184;0.064399995;-0.308099985;0.315295925
0.218379688;-0.045399997;0.066699997;-0.457099974;0.464166388
0.22830625;-0.084399998;0.084100001;-0.528999984;0.542251928
0.238232813;-0.138999999;0.0155;-0.443499982;0.465030627
0.248159375;-0.135199994;0.0127;-0.270799994;0.302940531
0.258085938;-0.0107;-0.0027;-0.1461;0.146516176
0.268010938;0.0469;0.0149;-0.158899993;0.166345507
0.2779375;-0.0243;0.0352;-0.335500002;0.338215584
0.287864063;-0.144699991;0.0067;-0.480599999;0.501955513
0.297790625;-0.238099992;0.046699997;-0.692799985;0.734060158
0.307717188;-0.29549998;-0.0385;-0.785999954;0.840594085
0.31764375;-0.245699987;-0.120699994;-0.683600008;0.736373508
0.32756875;-0.147499993;-0.095899999;-0.651199996;0.674547621
