Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0;-4.119599819;-0.868200004;-0.851999998;4.295436871
0.009926563;0.200199991;-0.250499994;-0.728999972;0.796411478
0.019853125;0.1347;-0.252099991;-0.72240001;0.776891414
0.029778125;0.391299993;-0.322099984;-1.130800009;1.239182288
0.03970625;0.823099971;-0.351099998;-1.300899982;1.578957104
0.049632813;0.720299959;-0.5;-0.735300004;1.144333049
0.059557813;-0.681499958;-1.586199999;-0.0024;1.726406206
0.069484375;0.2403;-0.566599965;0.907099962;1.096179708
0.079410938;-0.217099994;-0.492499977;0.261700004;0.598477675
0.0893375;0.833999991;-0.363399982;0.3662;0.980672205
0.099264063;-0.283999979;-0.109999999;0.252399981;0.395552447
0.109190625;-0.4023;-0.319299996;-0.040599998;0.515214652
0.119117188;-0.590499997;-0.295699984;-0.569299996;0.871912388
0.129042188;-0.579899967;-0.477499992;-0.976599991;1.232086749
0.13896875;-0.617299974;-0.711399972;-1.469799995;1.745697913
0.148895313;-0.385800004;-0.712099969;-1.525399923;1.727070623
0.158821875;0.071800001;-0.436699986;-1.553599954;1.615405502
0.168746875;0.287;-0.198799998;-1.893299937;1.92522079
0.178673438;0.379299998;-0.038599998;-2.002599955;2.038569358
0.1886;6.998399734;3.375499964;-3.619999886;8.571814162
0.198526563;7.185899734;2.542399883;-3.031999826;8.203290505
0.208453125;0.4727;-1.426800013;-2.955199957;3.31548041
0.218379688;0.210099995;-0.539999962;-2.148900032;2.225648965
0.22830625;0.42049998;0.0363;-1.22089994;1.291795102
0.23823125;0.310799986;-0.297899991;-0.97359997;1.06453649
0.248157813;0.556800008;-0.544099987;-0.819899976;1.130622402
0.258084375;0.820899963;-0.725399971;-0.613499999;1.255573222
0.268010938;0.683200002;-0.530799985;-0.382499993;0.945947732
0.2779375;0.365799993;-0.350600004;-0.0557;0.509737666
0.287864063;0.029199999;-0.202699989;0.072899997;0.217380623
0.297790625;0.269999981;-0.088599995;-1.165699959;1.199835965
0.307715625;0.938399971;-0.069600001;-2.709499836;2.868244764
0.317642188;1.197899938;-0.253399998;-3.235699892;3.459614084
0.32756875;1.141600013;-0.413199991;-3.108799934;3.337457394
0.337495313;0.988299966;-0.52609998;-2.691799879;2.915356685
0.347421875;1.050199986;-0.733699977;-1.984799981;2.362343462
0.357346875;0.831299961;-1.126899958;-1.623699903;2.14414657
0.367273438;0.714699984;-1.457399964;-1.689899921;2.343197061
0.3772;1.148499966;-1.333199978;-2.622499943;3.158160905
0.387126563;2.380800009;-1.024999976;-3.867399931;4.655707879
0.397053125;2.754499912;-1.219599962;-4.417299747;5.346702806
0.406979688;2.352799892;-1.596399903;-4.007400036;4.913594919
0.41690625;1.94509995;-1.681800008;-3.226699829;4.125949208
0.426832813;1.371399999;-1.862100005;-2.353499889;3.299563019
0.436757813;0.771399975;-2.188499928;-1.685299993;2.86789573
0.446684375;0.559000015;-2.265399933;-0.90959996;2.504374165
0.456610938;0.434499979;-2.431399822;-0.56309998;2.533293689
0.4665375;0.363299996;-2.809900045;-0.172999993;2.838565509
0.476464063;0.2685;-2.889099836;-0.123399995;2.904172459
0.486389063;0.320899993;-2.505800009;-0.064800002;2.527095077
0.496315625;1.064800024;-1.477399945;-0.317900002;1.848667115
0.506242188;2.260999918;-0.450199991;-0.438600004;2.346736164
0.51616875;1.195899963;-0.912499964;0.157399997;1.512483939
0.526095313;-0.363599986;-1.279699922;0.223999992;1.349078513
0.536021875;-1.268000007;-0.706299961;-0.257099986;1.474036653
0.545948438;-1.366400003;0.356899977;-0.370799989;1.460109309
0.555873438;-0.991299987;1.176599979;-0.209999993;1.552792057
0.5658;-0.531899989;1.585600019;-0.508399963;1.748003301
0.575726563;-0.421799988;1.454599977;-0.421900004;1.572188263
0.585653125;-1.59920001;0.761399984;0.20009999;1.782473174
0.595579688;-3.471899986;0.0579;0.920399964;3.592294256
0.60550625;-4.761199951;-0.309599996;1.264299989;4.935922568
0.615432813;-4.424999714;-0.552899957;1.49089992;4.702031838
0.625359375;-2.810299873;-0.474099994;1.256799936;3.11481978
0.635284375;-1.602399945;-0.390499979;0.797699988;1.832075623
0.645210938;-1.32099998;-0.450099975;0.834399998;1.625993325
0.6551375;-1.467399955;-0.441100001;3.152099848;3.504791761
0.665064063;-0.822999954;-1.247499943;1.672899961;2.24325195
0.674990625;-0.547500014;-1.751799941;0.66899997;1.953489252
0.684948438;0.313899994;-1.772099972;1.563300014;2.383857892
0.69484375;1.55339992;-1.95480001;1.466399908;2.895621364
0.70476875;2.231699944;-1.559399962;0.733900011;2.819720218
0.714695313;2.491799831;-1.174399972;0.545899987;2.808253637
0.724621875;2.462599993;-1.156399965;0.083499998;2.721880206
0.734548438;1.894699931;-1.104699969;-0.375200003;2.225089862
0.744475;0.867399991;-1.126600027;-0.550000012;1.524503322
0.754401563;-0.151299998;-1.411199927;-1.399399996;1.993162631
0.764328125;-1.287099957;-2.3829;-4.572499752;5.31437604
0.774253125;0.342199981;-2.848799944;-6.05919981;6.704227344
0.784179688;4.660699844;-2.024800062;13.96009922;14.85618755
0.79410625;1.99909997;0.118099995;20.00249863;20.10249486
0.804032813;-1.764599919;-3.426800013;-0.734099984;3.92373215
0.813957813;-3.252399921;-4.918399811;-0.114199996;5.897609989
0.823885938;-0.647099972;-0.495700002;3.616599798;3.707323963
0.833810938;-0.237999991;-0.063999996;0.793099999;0.830510448
0.8437375;-0.461099982;-0.131400004;2.534800053;2.579746201
0.853664063;0.744399965;-0.140900001;2.815999985;2.916134433
0.863590625;1.60589993;-0.256799996;2.81340003;3.249627756
0.873517188;1.367200017;-0.603199959;1.959100008;2.463972183
0.88344375;0.089299999;-1.010800004;1.362299919;1.698691322
0.89336875;-1.796000004;-0.624000013;0.629399955;2.002782148
0.903295313;-2.713099957;-0.491599977;0.146899998;2.761188425
0.913221875;-2.041300058;-0.203199998;0.620599985;2.143207995
0.923148438;-1.844199896;0.0211;0.82009995;2.01843563
0.933075;-0.302899987;-0.176200002;1.03670001;1.094322509
0.943001563;-0.049399998;-0.688899994;0.623899996;0.930738828
0.952928125;0.191100001;0.0167;2.209300041;2.217612404
0.962853125;-0.455599993;0.448199987;3.107899904;3.17293183
0.972779688;-1.072600007;0.446699977;3.600399971;3.783238242
0.98270625;-0.849900007;0.0148;3.244400024;3.353905273
0.992632813;-0.39319998;0.248799995;3.01880002;3.054449414
1.002559375;-0.352400005;-0.0964;2.58769989;2.613363627
1.012484375;0.081;-0.411799997;2.131599903;2.172523506
1.0224125;-0.165699989;-0.060899999;1.237200022;1.249731647
1.0323375;-1.082999945;0.784799993;1.559700012;2.054620169
1.042264063;2.546299934;1.848199964;-1.135499954;3.344973334
1.052190625;4.085099697;2.513499975;-2.547799826;5.431114583
1.062117188;4.624300003;2.234099865;-2.131599903;5.560491963
1.07204375;4.256999969;1.399399996;-0.877299964;4.566182685
1.081970313;1.338199973;-0.739199996;2.335599899;2.7914553
1.091895313;-1.903999925;-3.146699905;7.608799934;8.451081141
1.101821875;-4.613399982;-4.169499874;11.03419971;12.66577088
1.111748438;-5.856599808;-3.485800028;5.317199707;8.644256814
1.121673438;-1.868199944;0.859399974;2.52670002;3.257752652
1.1316;0.763300002;0.21769999;2.960199833;3.064768055
1.141528125;2.464400053;-0.566599965;2.637099981;3.653573518
1.151454688;3.09829998;-0.428799987;4.234399796;5.264358824
1.161379688;1.633599997;0.592999995;5.869799614;6.121670152
1.17130625;-1.66689992;0.531300008;5.407899857;5.683855725
1.181232813;-2.483299971;0.562299967;4.213799953;4.923319007
1.191159375;-1.268700004;1.696999907;2.411499977;3.210099769
1.201084375;-1.35619998;1.877200007;0.171599999;2.322198272
1.211010938;-1.889899969;2.218899965;-1.74000001;3.394530746
1.2209375;-3.016899824;2.763000011;-3.293799877;5.252139682
1.230864063;-4.482199669;2.286000013;-4.259399891;6.592298337
1.240790625;-3.301100016;0.8574;-5.156699657;6.182551854
1.250717188;-2.621099949;1.650699973;-4.63929987;5.578358058
1.260642188;-1.454999924;0.92019999;-3.723999977;4.102678226
1.27056875;0.502299964;-0.35709998;-2.470299959;2.546017977
1.280496875;2.483099937;0.324099988;-0.513599992;2.556288531
1.290421875;2.02429986;0.795899987;0.314799994;2.197804757
1.300348438;0.364099979;0.129999995;0.056599997;0.390733097
1.310275;-0.630400002;-0.049999997;-1.207499981;1.363070199
1.320201563;-1.289399981;-0.0405;-1.98119998;2.364179757
1.330128125;-1.866999984;-0.362599999;-2.199599981;2.907818388
1.340053125;-1.483799934;-0.317999989;-2.016200066;2.523459717
1.34998125;-0.824299991;-0.488399982;-1.738299966;1.984865686
1.359907813;-0.124899998;-0.987299979;-1.143399954;1.515824763
1.369832813;0.952999949;-0.751699984;-0.443999976;1.292438683
1.379757813;1.451499939;-0.391599983;-0.613099992;1.623605315
1.389684375;1.281899929;0.053999998;-0.948300004;1.595448628
1.399610938;0.427100003;0.231299996;-1.524500012;1.600004496
1.4095375;-1.524299979;-2.336899996;-0.091499999;2.791588126
1.419464063;-2.992300034;-3.052299976;-0.714899957;4.333760098
1.429390625;-2.643999815;-1.654399991;-0.193399996;3.124928465
1.439317188;-1.239099979;-0.114699997;0.997199953;1.594657516
1.44924375;0.615999997;1.141299963;-0.845399976;1.54813524
1.45916875;6.420300007;4.131999969;-2.221199989;7.951566218
1.469096875;1.668900013;1.078400016;1.248999953;2.346950091
1.479021875;0.215899989;-0.888699949;1.347499967;1.628544308
1.488948438;-0.159899995;-0.068499997;1.628099918;1.637366667
1.498875;0.702499986;0.12879999;0.782899976;1.059730173
1.508801563;0.779899955;0.22739999;0.085299999;0.816841958
1.518726563;-0.913199961;-0.0084;-0.58069998;1.082227886
1.528653125;-1.08949995;0.160899997;-0.236499995;1.126424076
1.538579688;-0.981299996;0.331099987;0.36679998;1.098689724
1.54850625;-0.996499956;0.423199981;0.025599999;1.082943094
1.558432813;-0.830899954;0.452999979;-0.566299975;1.102859636
1.568359375;-0.795899987;0.975099981;0.534200013;1.367350144
1.5782875;-0.901199996;0.492199987;-0.0352;1.027453795
1.588210938;0.849999964;-0.057;1.79399991;1.985997134
1.5981375;1.043900013;0.679399967;1.412999988;1.883581832
1.608064063;-0.354999989;0.065200001;1.128999949;1.185291912
1.617990625;-0.513499975;0.610000014;0.441899985;0.911623738
1.627917188;-0.146699995;0.931199968;-0.718899965;1.185525803
1.63784375;-0.323199987;1.237200022;-1.952199936;2.333710932
1.64776875;-0.308599979;0.8829;-2.042599916;2.246544185
1.657696875;1.208400011;0.160999998;-2.157599926;2.478182606
1.667621875;-0.332299978;0.934599996;1.360899925;1.684027623
1.677573438;-0.422699988;-0.343400002;2.683899879;2.738597708
1.687475;0.3125;1.083599925;2.280499935;2.54411576
1.697401563;0.286899984;-0.450499982;2.447900057;2.505489278
1.707328125;0.136500001;0.103399999;1.799299955;1.807430259
1.717253125;-0.395999998;0.479399979;0.220699996;0.65980969
1.727179688;-0.93689996;0.956399977;-1.057999969;1.70641331
1.73710625;-0.610399961;1.475799918;-1.608599901;2.266752557
1.747032813;0.172600001;1.973899961;-0.406899989;2.02278012
1.756959375;1.270200014;0.514199972;-0.816799998;1.595296814
1.766885938;1.410899997;0.28489998;0.661499977;1.584105116
1.776810938;1.791099906;0.406299978;1.591599941;2.430289884
1.7867375;1.672399998;0.261000007;1.612699986;2.337914455
1.796664063;1.336399913;0.223399997;0.982499957;1.673672146
1.806590625;1.732499957;1.330799937;1.273399949;2.528662098
1.816517188;-2.005199909;-0.1338;0.537299991;2.080245273
1.82644375;-3.022300005;-2.402099848;-1.773000002;4.248283183
1.836370313;-1.179799914;0.939199984;-2.889999866;3.259773562
1.846296875;-1.477399945;2.03550005;-1.651899934;3.009110241
1.856221875;-1.878499985;1.60769999;-2.658599854;3.63064934
1.866148438;-0.666999996;0.877799988;-2.203699827;2.46408497
1.876075;0.138899997;0.751699984;-2.082399845;2.21827302
1.886001563;0.356700003;0.702199996;-1.422999978;1.626422043
1.895928125;0.557099998;0.783699989;-1.037299991;1.414403532
1.905854688;0.556899965;0.773599982;-0.694399953;1.179315818
1.91578125;0.653099954;0.858299971;-0.491899997;1.185404571
1.92570625;0.553900003;0.814700007;-0.32069999;1.036045269
1.935632813;0.656599998;0.901799977;-0.317999989;1.159952908
1.945559375;0.99939996;0.946899951;-0.486499995;1.460171922
1.955485938;1.518899918;0.979999959;-0.860599995;2.002021286
1.9654125;1.477599978;1.00999999;-0.802399993;1.961440141
1.975339063;-0.0209;0.866799951;0.468499988;0.985530925
1.985264063;0.737599969;1.016000032;-1.542999983;1.989260849
1.995190625;1.530799985;0.922999978;-2.529599905;3.097443015
2.005117188;1.82980001;0.5546;-3.010999918;3.566773015
2.01504375;2.167700052;0.1875;-2.860299826;3.593799502
2.024970313;2.46449995;-0.103299998;-2.474799871;3.494147292
2.034896875;3.265100002;-0.609299958;-1.590999961;3.68285288
2.044823438;3.260999918;-1.191299915;-0.645299971;3.531250204
2.054748438;2.96329999;-1.705199957;0.327099979;3.434508425
2.064675;2.247900009;-1.979599953;0.670599997;3.069458385
2.074601563;1.543299913;-2.167899847;0.591099977;2.725979375
2.084528125;-0.131599993;-2.700799942;2.549399853;3.71632594
