Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0;-0.0546;0.078899994;0.088;0.130193583
0.009925;0.0513;-0.153699994;-0.325599998;0.363690441
0.019851563;0.310000002;-0.138799995;-0.094499998;0.352555938
0.029778125;0.468199998;-0.0243;-0.085499994;0.476562669
0.039704688;0.366699994;0.0517;-0.414499998;0.555834529
0.049629688;0.1417;0.042399999;-0.846199989;0.859029145
0.05955625;-0.092500001;-0.096599996;-1.226199985;1.23347242
0.069482813;-0.074699998;-0.134000003;-1.3125;1.321435712
0.079409375;0.071199998;-0.107699998;-1.185199976;1.19221127
0.089335938;0.181500003;-0.209199995;-0.914699972;0.955710692
0.0992625;0.211399987;-0.208099991;-0.641099989;0.706402688
0.109189063;0.0051;-0.340399981;-0.379099995;0.509524252
0.119114063;0.0902;-0.315699995;-0.141399994;0.357486342
0.129042188;0.123099998;-0.2597;-0.090999998;0.301460941
0.13896875;-0.172899991;-0.391900003;-0.080699995;0.435881301
0.148895313;-0.438299984;-0.46449998;0.0394;0.639858943
0.158820313;-0.460199982;-0.363599986;-0.0061;0.586537452
0.168746875;-0.301400006;-0.379500002;0.076899998;0.490689132
0.178671875;0.150199994;-0.177299991;0.024499999;0.233656961
0.188598438;0.446099997;-0.017899999;-0.211799994;0.494150639
0.198525;0.39229998;-0.016899999;-0.623099983;0.736504225
0.208451563;0.0359;-0.058499999;-0.926699996;0.929238367
0.218378125;-0.327600002;-0.012;-1.154999971;1.200620962
0.228304688;-0.478399992;-0.035499997;-1.093099952;1.193731254
0.23823125;-0.444799989;-0.101599999;-0.737699986;0.86739314
0.248157813;-0.155299991;-0.057999998;-0.470999986;0.499322615
0.258082813;0.040100001;-0.0094;-0.085699998;0.095083435
0.268009375;-0.005;0.0436;-0.342999995;0.34579612
0.277935938;-0.4727;-0.104399994;-0.910399973;1.031102691
0.2878625;-1.273800015;-0.286300004;-1.111099958;1.714373731
0.297789063;-0.861499965;-0.045699999;-1.121999979;1.415328454
0.307715625;-0.42719999;0.181400001;-0.552100003;0.721262923
0.317642188;-0.163699999;0.207999989;-0.310099989;0.407705394
0.32756875;0.256599993;0.172099993;-0.427699983;0.527626041
0.337495313;0.32249999;-0.0779;-0.947799981;1.004190947
0.347421875;0.96509999;0.243399993;-1.396299958;1.714734709
0.357346875;0.960299969;0.18339999;-1.972000003;2.201044206
0.367273438;1.102100015;0.070199996;-2.199499846;2.461168839
0.3772;1.234599948;-0.189699993;-2.170699835;2.504428256
0.387125;1.465199947;-0.068700001;-1.971099973;2.456983044
0.397053125;0.84709996;-0.233699992;-1.883799911;2.078676534
0.406978125;-0.179099992;-0.55250001;-2.100499868;2.179319335
0.416904688;-0.317900002;-0.487699986;-2.279700041;2.352858679
0.42683125;-0.593999982;-0.575399995;-2.247799873;2.395104466
0.436757813;-0.0469;-0.36589998;-1.873899937;1.909864754
0.446682813;0.400599986;-0.353699982;-1.78429997;1.862608496
0.456609375;0.694899976;-0.590600014;-1.789899945;2.008839508
0.466535938;1.229300022;-0.772199988;-1.599299908;2.159914712
0.4764625;1.471099973;-0.967799962;-1.141499996;2.098521893
0.486389063;1.055299997;-0.951399982;-0.289799988;1.450104839
0.496315625;0.237799987;-1.279199958;-0.002;1.301116969
0.506242188;0.142399997;-1.00849998;-0.422399998;1.102620391
0.51616875;0.0405;-0.904899955;-1.698399901;1.924849709
0.526095313;-0.113799997;-1.095799923;-2.656299829;2.875701079
0.536020313;0.204300001;-1.050599933;-3.127599955;3.305658813
0.545946875;-0.974099994;-0.120799996;-2.905900002;3.067200394
0.555873438;1.349799991;-2.164299965;-3.18659997;4.081736606
0.5658;2.502399921;-1.531700015;-3.918299913;4.895016294
0.575726563;3.708599806;-1.385200024;-3.557699919;5.322567082
0.585653125;2.647599936;-1.45389998;-3.608699799;4.705988186
0.595579688;1.968599916;-1.639799953;-2.72089982;3.737328637
0.605504688;3.516899824;-3.655299902;-4.244499683;6.614044096
0.61543125;3.309000015;-0.813999951;-5.364599705;6.355391964
0.625357813;0.660299957;-1.456499934;-4.38779974;4.67013647
0.635284375;-2.479500055;-2.271699905;-5.240999699;6.227087507
0.645210938;-2.6947999;-3.233399868;-4.746099949;6.343680787
0.655135938;-0.538999975;-3.346999884;-4.578999996;5.697382746
0.6650625;0.910600007;-2.504999876;-2.387399912;3.578253078
0.674989063;-0.613599956;-1.587000012;-3.674999952;4.049777598
0.684915625;0.303200006;-2.23210001;-2.99090004;3.744286814
0.694842188;0.964999974;-1.644199967;-2.100999832;2.837044021
0.70476875;1.25759995;-1.887899995;-1.16839993;2.551643083
0.714695313;0.398199975;-2.161099911;-0.066100001;2.198473392
0.724621875;1.50819993;-2.584199905;-1.144799948;3.203642162
0.734546875;1.495299935;-2.787999868;0.0138;3.163709153
0.744473438;0.946799994;-2.712999821;-0.0036;2.873466759
0.7544;-0.955199957;-2.805999994;-0.103599995;2.965935921
0.764326563;-2.829299927;-3.094300032;0.030299999;4.192916509
0.774253125;-3.661099911;-3.476599932;0.844399989;5.118926741
0.784179688;-3.882499933;-3.915599823;0.513700008;5.538015475
0.794104688;-3.203999996;-4.122600079;0.961699963;5.30907847
0.80403125;0.447899997;-2.935299873;1.105399966;3.168360592
0.813957813;2.639499903;-2.306400061;2.776299953;4.471496663
0.823884375;1.629199982;-3.112900019;1.034399986;3.662570469
0.833810938;0.074599996;-3.26549983;-0.582700014;3.317920072
0.8437375;-0.967299998;-3.199199915;-1.174299955;3.542531548
0.8536625;-1.668200016;-3.619400024;-1.730699897;4.344913113
0.863589063;-1.681100011;-3.975299835;-1.21329999;4.483436505
0.873515625;-1.911499977;-5.074199677;-0.814799964;5.483177318
