Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0;2.125399828;-1.031899929;-4.848700047;5.393703184
0.009926562;0.947999954;0.665499985;2.480399847;2.737513022
0.019851562;0.0277;1.300799966;2.97939992;3.251103155
0.029778125;-0.241899997;1.286599994;2.354500055;2.693979522
0.039704687;-0.559700012;0.710299969;1.111599922;1.432984486
0.04963125;-0.586600006;0.688799977;0.214299992;0.929768499
0.059557812;-0.312299997;0.996599972;-0.658800006;1.234811824
0.069484375;0.044399999;1.221400023;-0.79339999;1.457145469
0.079410937;0.371399999;1.203699946;0.1131;1.264762084
0.0893375;0.756699979;1.150099993;1.032299995;1.720746388
0.0992625;0.690199971;1.006799936;1.544099927;1.9683157
0.109189062;-0.173099995;1.627799988;1.333499908;2.111378321
0.119115625;0.13059999;2.366699934;0.9921;2.569550028
0.129042187;0.988699973;2.730000019;0.745599985;2.997723649
0.13896875;0.90109998;2.605099916;0.244299993;2.767346967
0.14889375;0.144299999;2.04219985;-0.421799988;2.090291355
0.158820312;-0.692299962;1.587299943;-0.75999999;1.891137312
0.168746875;-1.860499978;1.693699956;1.025599957;2.716971656
0.178673437;-3.014099836;0.917599976;-1.042099953;3.318547853
0.1886;-2.038300037;0.425300002;-1.721899986;2.701941283
0.198526562;-1.502200007;0.445299983;-2.007799864;2.546793519
0.208453125;-0.809499979;0.531099975;-2.274499893;2.471984459
0.218378125;0.129500002;0.466099977;-1.757799983;1.823151179
0.228304687;0.67049998;0.100999996;-1.25909996;1.430071303
0.23823125;1.446999907;-0.272699982;-0.919499993;1.735987975
0.248157812;2.287999868;-0.332800001;-0.564700007;2.380038936
0.258084375;2.699800014;-0.098099999;-1.167500019;2.943059636
0.268010937;3.121899843;0.381300002;-1.726999998;3.588060384
0.2779375;2.821199894;0.616999984;-1.967099905;3.49418658
0.287864062;2.242199898;0.428799987;-2.389099836;3.304410362
0.297789062;0.961599946;-0.371800005;-2.364899874;2.579856801
0.307715625;0.110399999;-1.185599923;-1.187699914;1.681804514
0.317642187;-0.315799981;-1.653100014;0.452600002;1.742789731
0.327567187;-0.1171;-1.852499962;1.382499933;2.314470692
0.33749375;0.227599993;-1.847000003;1.449299932;2.358745654
0.347421875;0.734799981;-1.511399984;0.854200006;1.885183963
0.357346875;0.550899982;-1.382300019;0.649599969;1.62364536
0.367273437;-0.1303;-1.465399981;0.590399981;1.585227848
0.3772;-1.49940002;-1.607599974;0.632999957;2.287633502
0.387126562;-1.707399964;-1.707700014;0.797699988;2.543182897
0.397053125;-1.497999907;-1.795499921;1.089399934;2.579654221
0.406979687;-1.323699951;-1.883099914;0.986299992;2.50420337
0.416904687;-1.21389997;-1.708599925;-0.329400003;2.121643515
0.42683125;-1.069700003;-0.724599957;-0.685400009;1.462558158
0.436757812;1.702799916;0.239899993;-1.438799977;2.242147394
0.446684375;3.471599817;0.950100005;-1.046899915;3.748425635
0.456610937;4.017799854;1.395299911;-1.093799949;4.391580107
0.4665375;3.621599913;1.195899963;-1.371299982;4.05297746
0.476464062;3.002599955;0.609499991;-2.220900059;3.784110701
0.486389062;2.785399914;0.224199995;-2.780900002;3.942349951
0.496315625;2.37409997;0.164399996;-3.092399836;3.902091076
0.506242187;1.951900005;0.589599967;-3.005299807;3.631717043
0.51616875;1.675499916;0.636699975;-2.383599997;2.982320534
0.52609375;3.266700029;0.77669996;-0.780200005;3.447216842
0.536020312;3.349399805;1.297799945;0.804799974;3.681095863
0.545948437;2.103100061;1.15139997;1.295599937;2.725313002
0.555873437;0.856399953;0.517799973;0.599399984;1.166541055
0.5658;0.495899975;0.095799997;0.176499993;0.535020254
0.575725;0.607800007;0.145599991;0.339599997;0.711300473
0.585653125;0.507699966;0.72179997;1.611400008;1.837216492
0.595579687;0.869899988;1.139999986;-1.033800006;1.767786302
0.605504687;2.225199938;1.333099961;-0.503099978;2.642305784
0.61543125;2.618099928;1.104699969;0.384199977;2.867476046
0.625357812;2.332999945;0.739799976;0.069899999;2.448484992
0.635284375;1.672199965;0.521499991;-0.0176;1.751720504
0.645209375;0.851599991;0.526600003;0.81279999;1.289641009
0.655135937;-0.214299992;0.616899967;1.504299998;1.639941627
0.6650625;0.1602;-0.997999966;2.797999859;2.974974148
0.674989062;-0.067199998;-1.338799953;3.194000006;3.46389047
0.684915625;-0.270899981;-0.500800014;2.597599983;2.659269284
0.694842187;0.391099989;0.347000003;3.049099922;3.093602841
0.70476875;1.19659996;0.532400012;3.652599812;3.880307542
0.714695312;1.667299986;0.486699998;3.400300026;3.818220318
0.724620312;1.787799954;0.467299998;3.125999928;3.631318426
0.734546875;1.789799929;0.581799984;2.16960001;2.872114066
0.744473437;2.001899958;0.647099972;0.948899984;2.307975952
0.7544;1.33949995;0.426099986;0.610000014;1.532292835
0.764326562;0.785999954;-0.104599997;0.527099967;0.952140463
0.774253125;-0.0436;-0.350199997;0.266900003;0.442466507
0.784178125;-0.752299964;-0.258399993;-0.154200003;0.810248995
0.794104687;-0.571200013;0.153099999;0.072899997;0.595838463
0.80403125;-0.699099958;0.102199994;0.556199968;0.899190744
0.813957812;-1.465399981;-0.127899989;0.842999995;1.695406884
0.823884375;-1.713799953;-0.443899989;0.0051;1.770362531
0.833809375;-2.136499882;-0.781799972;-0.735399961;2.390952957
0.843735937;-1.712499976;-0.71450001;-1.16960001;2.193428963
0.8536625;-0.594399989;-0.399199992;-0.847799957;1.109701197
0.863589062;-0.046999998;-0.0093;-1.216499925;1.21744304
0.873515625;0.551699996;0.34739998;-1.242299914;1.402985641
0.883442187;0.560499966;0.459199995;-1.449899912;1.620874641
0.89336875;0.135399997;0.377499998;-1.534799933;1.586332324
0.903295312;-0.891799986;0.0296;-1.113099933;1.42659554
0.913220312;-1.290899992;-0.441499978;-0.787099957;1.575078209
0.923146875;-1.411399961;-0.738699973;-0.759299994;1.764727735
0.933073437;-0.983799994;-0.618699968;-1.22149992;1.686035033
0.943;-0.132200003;-0.198599994;-0.081099994;0.251984141
0.952926562;0.098099999;-0.0274;-0.424899995;0.436937497
0.962853125;0.273900002;0.094299994;-1.049899936;1.089129733
0.972778125;0.471499979;0.134399995;-1.555099964;1.630555576
0.982704687;0.938199997;0.0165;-2.085399866;2.286784661
0.99263125;1.436800003;-0.080600001;-2.46449995;2.853883427
1.002557812;1.795899987;-0.119899996;-2.698099852;3.243358689
1.012484375;2.351899862;-0.045499999;-2.028599977;3.106239057
1.022410937;2.815699816;-0.630999982;-2.755599976;3.989944568
1.0323375;0.521799982;1.514099956;-1.631500006;2.286168446
1.0422625;2.173699856;1.01789999;-4.65599966;5.23826539
1.052189062;2.59010005;-0.0154;-4.70059967;5.366981711
1.062115625;2.223599911;-0.977999985;-5.101299763;5.650145113
1.072042187;1.331799984;-1.912799954;-5.633699894;6.096808129
1.08196875;2.931200027;-2.116600037;-3.993899822;5.387315204
1.09189375;3.727399826;-2.029899836;-6.031399727;7.375078676
1.101820312;3.484999895;-1.873099923;-5.107999802;6.461067216
1.111746875;3.56799984;-2.213099957;-5.39989996;6.840128204
1.121673437;3.168200016;-2.754099846;-5.351199627;6.801315663
1.1316;2.969199896;-3.0697999;-5.208999634;6.735985201
1.141526562;2.781999826;-3.476999998;-4.748699665;6.509930916
1.151453125;2.641499996;-4.046700001;-4.040599823;6.29918646
1.161379687;2.284199953;-4.733099937;-3.707700014;6.431706137
1.171304687;1.991699934;-5.009799957;-3.387300014;6.367006018
1.18123125;1.917299986;-4.675499916;-2.861799955;5.807429525
1.191157812;1.73029995;-3.897399902;-2.708400011;5.051642756
1.201084375;1.173099995;-3.447299957;-2.509799957;4.422571245
1.211010937;0.259599984;-3.216499805;-2.079299927;3.838847657
1.2209375;0.246699989;-3.215899944;-1.800199986;3.693723504
1.2308625;0.336099982;-3.361599922;-1.844900012;3.849282178
1.240789062;-1.173099995;-4.123300076;-1.628700018;4.585894772
1.250715625;-2.566099882;-4.926599979;-0.954699993;5.63628495
1.260642187;-3.143999815;-5.117000103;-0.127199993;6.007046257
1.27056875;-3.96089983;-5.211599827;0.772599995;6.591389153
1.280495312;-4.042900085;-4.448199749;1.022599936;6.097313567
1.290420312;-3.672999859;-3.347800016;1.192700028;5.110892903
1.300346875;-5.451999664;-2.746299982;1.067399979;6.197241858
1.310273437;-6.656199932;-2.101799965;1.09649992;7.065753513
1.3202;-7.135799885;-1.64259994;0.961199999;7.385233916
1.330126562;-7.669999599;-1.480799913;0.541999996;7.830416734
1.340053125;-8.635299683;-0.99909997;-0.029099999;8.692953938
1.349978125;-8.285900116;-0.241099998;0.325699985;8.295803181
1.359904687;-7.932899952;0.52639997;0.655200005;7.97729814
1.369832812;-6.822599888;1.708400011;1.038800001;7.109543253
1.379757812;-5.693599701;3.22059989;2.063600063;6.859138898
1.389684375;-6.956399918;4.161399841;2.527899981;8.491114577
1.399610937;-6.867899895;4.334499836;2.696899891;8.557406547
1.4095375;-5.889100075;4.127299786;3.121099949;7.839474989
1.4194625;-5.665400028;3.497900009;3.322700024;7.441263159
1.429389062;-4.824999809;3.48939991;3.698199987;7.009509115
1.439315625;-3.977099895;2.968099833;3.547999859;6.100429755
1.449242187;-3.058699846;3.195799828;3.812099934;5.839596492
